,Unnamed: 0,Unnamed: 0.1,1980_2000,2030_2050,2040_2060,20302050_to_19802000_ratio,20402060_to_19802000_ratio,20302050_to_19802000_percdelta,20402060_to_19802000_percdelta
0,0,Jan,6.3651904761904765,6.629322380952381,6.794689047619048,1.0414963080444979,1.0674761537828517,4.1,6.7
1,1,Feb,5.368141428571429,5.936983333333332,5.996371428571429,1.1059662664128587,1.1170293309815396,10.6,11.7
2,2,Mar,4.362962380952379,4.3995676190476205,4.423236666666666,1.0083899962683727,1.0138149909285097,0.8,1.4
3,3,Apr,1.682374761904762,1.681512857142857,1.685722857142857,0.9994876856325822,1.0019901007277976,-0.1,0.2
4,4,May,0.5930922380952379,0.5453582380952382,0.5478499523809524,0.919516734608935,0.9237179601952225,-8.0,-7.6
5,5,Jun,0.42545776190476176,0.4053254285714286,0.3997414761904762,0.9526807708403267,0.9395561956628679,-4.7,-6.0
6,6,Jul,0.3956527142857143,0.3839831428571428,0.3810338095238094,0.9705055190897932,0.9630511702964127,-2.9,-3.7
7,7,Aug,0.4833657619047618,0.4077769523809524,0.42946561904761904,0.8436198517124124,0.8884899446647965,-15.6,-11.2
8,8,Sep,1.0010699523809523,0.8529100952380952,0.8044404285714286,0.8519984974172159,0.8035806355571271,-14.8,-19.6
9,9,Oct,2.479325714285714,2.127890476190476,2.055400952380952,0.8582537033878644,0.8290161072979904,-14.2,-17.1
10,10,Nov,4.826418095238094,4.627493333333332,4.492029047619046,0.9587841836369236,0.9307169331332966,-4.1,-6.9
11,11,Dec,6.712313809523812,6.732460476190474,6.66699380952381,1.00300144886523,0.9932482298524692,0.3,-0.7
